"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Update exercise","LMS service","Mon Jan 26 14:27:28 UTC 2026","passed","Mon Jan 26 14:27:28 UTC 2026","Update entity","Exercises","",""
"","12","Get file","LMS service","Mon Jan 26 14:27:31 UTC 2026","passed","Mon Jan 26 14:27:31 UTC 2026","Get entity","Files","",""
"","24","Get courses","LMS service","Mon Jan 26 14:27:26 UTC 2026","passed","Mon Jan 26 14:27:26 UTC 2026","Get entities","Courses","",""
"","258","Create file","LMS service","Mon Jan 26 14:27:30 UTC 2026","passed","Mon Jan 26 14:27:31 UTC 2026","Create entity","Files","",""
"","559","Create user","LMS service","Mon Jan 26 14:27:33 UTC 2026","passed","Mon Jan 26 14:27:34 UTC 2026","Create entity","Users","",""
"","547","Create user","LMS service","Mon Jan 26 14:27:33 UTC 2026","passed","Mon Jan 26 14:27:33 UTC 2026","Create entity","Users","",""
"","557","Create user","LMS service","Mon Jan 26 14:27:33 UTC 2026","passed","Mon Jan 26 14:27:34 UTC 2026","Create entity","Users","",""
"","15","Get exercise","LMS service","Mon Jan 26 14:27:29 UTC 2026","passed","Mon Jan 26 14:27:29 UTC 2026","Get entity","Exercises","",""
"","261","Create exercise","LMS service","Mon Jan 26 14:27:27 UTC 2026","passed","Mon Jan 26 14:27:27 UTC 2026","Create entity","Exercises","",""
"","18","Delete file","LMS service","Mon Jan 26 14:27:32 UTC 2026","passed","Mon Jan 26 14:27:32 UTC 2026","Delete entity","Files","",""
"","256","Create file with empty filename","LMS service","Mon Jan 26 14:27:32 UTC 2026","passed","Mon Jan 26 14:27:32 UTC 2026","Validate entity","Files","",""
"","19","Get exercises","LMS service","Mon Jan 26 14:27:30 UTC 2026","passed","Mon Jan 26 14:27:30 UTC 2026","Get entities","Exercises","",""
"","265","Create file with empty directory","LMS service","Mon Jan 26 14:27:33 UTC 2026","passed","Mon Jan 26 14:27:33 UTC 2026","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Mon Jan 26 14:27:25 UTC 2026","passed","Mon Jan 26 14:27:25 UTC 2026","Login","Authentication","",""
"","29","Create course","LMS service","Mon Jan 26 14:27:27 UTC 2026","passed","Mon Jan 26 14:27:27 UTC 2026","Create entity","Courses","",""
"","11","Get user me","LMS service","Mon Jan 26 14:27:35 UTC 2026","passed","Mon Jan 26 14:27:35 UTC 2026","Get entity","Users","",""
"","304","Update course","LMS service","Mon Jan 26 14:27:25 UTC 2026","passed","Mon Jan 26 14:27:26 UTC 2026","Update entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Mon Jan 26 14:27:33 UTC 2026","passed","Mon Jan 26 14:27:33 UTC 2026","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Mon Jan 26 14:27:29 UTC 2026","passed","Mon Jan 26 14:27:30 UTC 2026","Delete entity","Exercises","",""
